"id";"place_id";"activity_id"
1;1;26
2;1;123
3;2;25
4;2;26
5;2;126
6;2;56
7;3;26
8;3;126
9;4;26
10;4;123
11;4;126
12;4;128
13;5;26
14;5;125
15;6;26
16;6;125
17;6;124
18;7;26
19;7;123
20;8;26
21;8;125
22;9;26
23;9;124
24;10;26
25;10;125
26;11;26
27;11;125
28;12;26
29;12;125
30;13;26
31;13;127
32;13;123
33;14;26
34;14;125
35;15;26
36;15;125
37;16;26
38;16;130
39;17;26
40;17;123
41;18;26
42;18;29
43;18;131
44;18;147
45;18;163
46;19;26
47;19;124
48;20;28
49;20;26
50;20;10
51;20;143
52;20;134
53;21;26
54;21;123
55;22;26
56;22;123
57;23;26
58;23;124
59;24;26
60;24;124
61;25;26
62;25;123
