"id";"tour_id";"activity_id"
1;1;1
2;2;1
3;3;1
4;4;1
5;8;1
6;9;1
7;10;1
8;11;1
9;12;1
10;13;1
11;14;1
12;15;1
13;16;1
14;17;1
15;18;1
16;19;2
17;16;2
18;21;2
19;23;2
20;24;2
21;25;2
22;26;2
23;27;2
24;28;2
25;29;2
26;30;2
27;31;2
28;32;2
29;33;2
30;34;2
31;35;2
32;36;2
33;37;2
34;38;2
35;19;37
36;16;37
37;28;37
38;30;37
39;39;37
40;23;37
41;21;37
42;40;37
43;40;37
44;28;37
45;31;37
46;41;37
47;32;37
48;34;37
49;38;37
50;37;37
51;42;38
52;43;38
53;44;38
54;40;38
55;45;38
56;46;38
57;16;39
58;47;39
59;48;39
60;44;39
61;49;40
62;50;40
63;51;40
64;52;40
65;53;40
66;54;40
67;55;40
68;56;40
69;56;40
70;57;40
