"id";"address";"website";"email";"phone";"place_id"
1;"Hoi An 560000, VietnamHoi An 560000, VietnamHoi An 560000, Vietnam";"";"";"";1
2;"Tra Que Organic Herbs Village, Hoi An 560000, VietnamTra Que Organic Herbs Village, Hoi An 560000, VietnamTra Que Organic Herbs Village, Hoi An 560000, Vietnam";"";"";"+84 90 501 80 09+84 90 501 80 09CallCall";2
3;"Hai Ba Trung Street, Tra Que Village, Cam Ha Ward, Hoi An 560000, VietnamHai Ba Trung Street, Tra Que Village, Cam Ha Ward, Hoi An 560000, VietnamHai Ba Trung Street, Tra Que Village, Cam Ha Ward, Hoi An 560000, Vietnam";"";"";"+84 90 539 33 49+84 90 539 33 49CallCall";3
4;"Cam Ha Commune, Hoi An 560000, VietnamCam Ha Commune, Hoi An 560000, VietnamCam Ha Commune, Hoi An 560000, Vietnam";"";"";"";4
5;"46 Tran Phu St, Hoi An, Vietnam46 Tran Phu St, Hoi An, Vietnam46 Tran Phu St, Hoi An, Vietnam";"";"";"0908925681609089256816CallCall";5
6;"176 Tran Phu | Minh An, Hoi An 560000, Vietnam176 Tran Phu | Minh An, Hoi An 560000, Vietnam176 Tran Phu | Minh An, Hoi An 560000, Vietnam";"";"";"";6
7;"9 D Nguyen Thai Hoc, Hoi An, Vietnam9 D Nguyen Thai Hoc, Hoi An, Vietnam9 D Nguyen Thai Hoc, Hoi An, Vietnam";"";"";"";7
8;"45 Phan Chau Trinh Street | in the garden of Mr. Ba Lo Le, off Kiet Gieng Lane, Hoi An, Vietnam45 Phan Chau Trinh Street | in the garden of Mr. Ba Lo Le, off Kiet Gieng Lane, Hoi An, Vietnam45 Phan Chau Trinh Street | in the garden of Mr. Ba Lo Le, off Kiet Gieng Lane, Hoi An, Vietnam";"";"";"+84 90 843 31 21+84 90 843 31 21CallCall";8
9;"168 Tran Phu St., Hoi An, Vietnam168 Tran Phu St., Hoi An, Vietnam168 Tran Phu St., Hoi An, Vietnam";"";"";"+84 128 894 2399+84 128 894 2399CallCall";9
10;"Cam Kim commune, Hoi An, VietnamCam Kim commune, Hoi An, VietnamCam Kim commune, Hoi An, Vietnam";"";"";"";10
11;"Hoi An, VietnamHoi An, VietnamHoi An, Vietnam";"";"";"+84 128 894 2399+84 128 894 2399CallCall";11
12;"101 Nguyen Thai Hoc Street, Hoi An 100000, Vietnam101 Nguyen Thai Hoc Street, Hoi An 100000, Vietnam101 Nguyen Thai Hoc Street, Hoi An 100000, Vietnam";"";"";"+84 97 499 89 68+84 97 499 89 68CallCall";12
13;"Tran Phu Street | At the West end of Tran Phu St., Hoi An 560000, VietnamTran Phu Street | At the West end of Tran Phu St., Hoi An 560000, VietnamTran Phu Street | At the West end of Tran Phu St., Hoi An 560000, Vietnam";"";"";"";13
14;"4 Nguyen Thi Minh Khai St., Hoi An, Vietnam4 Nguyen Thi Minh Khai St., Hoi An, Vietnam4 Nguyen Thi Minh Khai St., Hoi An, Vietnam";"";"";"";14
15;"3 km West of Hoi An, Hoi An, Vietnam3 km West of Hoi An, Hoi An, Vietnam3 km West of Hoi An, Hoi An, Vietnam";"";"";"+84 510 3963 888+84 510 3963 888CallCall";15
16;"Ly Thurong Kiet Street | At Junction With Nguyen Thurong to Street, Hoi An, VietnamLy Thurong Kiet Street | At Junction With Nguyen Thurong to Street, Hoi An, VietnamLy Thurong Kiet Street | At Junction With Nguyen Thurong to Street, Hoi An, Vietnam";"";"";"+84 510 3927 206+84 510 3927 206CallCall";16
17;"129 Tran Phu Street, Hoi An 51000, Vietnam129 Tran Phu Street, Hoi An 51000, Vietnam129 Tran Phu Street, Hoi An 51000, Vietnam";"";"";"+84 510 3862 098+84 510 3862 098CallCall";17
18;"42 Phan Boi Chau | Quang Nam, Hoi An, Vietnam42 Phan Boi Chau | Quang Nam, Hoi An, Vietnam42 Phan Boi Chau | Quang Nam, Hoi An, Vietnam";"";"";"+84 122 377 9074+84 122 377 9074CallCall";18
19;"Hai Ba Trung, 07, Hoi An, VietnamHai Ba Trung, 07, Hoi An, VietnamHai Ba Trung, 07, Hoi An, Vietnam";"";"";"+84 128 894 2399+84 128 894 2399CallCall";19
20;"Victoria Hoi An Beach Resort & Spa | Cua Dai Beach, Hoi An Town, Hoi An, VietnamVictoria Hoi An Beach Resort & Spa | Cua Dai Beach, Hoi An Town, Hoi An, VietnamVictoria Hoi An Beach Resort & Spa | Cua Dai Beach, Hoi An Town, Hoi An, Vietnam";"";"";"+84 235 3927 040+84 235 3927 040CallCall";20
21;"104 Thai Phien, Hoi An 560000, Vietnam104 Thai Phien, Hoi An 560000, Vietnam104 Thai Phien, Hoi An 560000, Vietnam";"";"";"+84 91 546 95 54+84 91 546 95 54CallCall";21
22;"77 Tran Phu Street, Hoi An 560000, Vietnam77 Tran Phu Street, Hoi An 560000, Vietnam77 Tran Phu Street, Hoi An 560000, Vietnam";"";"";"";22
23;"Area 7, Tan An Ward, Hoi An, VietnamArea 7, Tan An Ward, Hoi An, VietnamArea 7, Tan An Ward, Hoi An, Vietnam";"";"";"";23
24;"64 Tran Phu, Hoi An, Vietnam64 Tran Phu, Hoi An, Vietnam64 Tran Phu, Hoi An, Vietnam";"";"";"";24
25;"06 Tran Hung Dao Street | Down The Alley Near Ba Le Well, Hoi An, Vietnam06 Tran Hung Dao Street | Down The Alley Near Ba Le Well, Hoi An, Vietnam06 Tran Hung Dao Street | Down The Alley Near Ba Le Well, Hoi An, Vietnam";"";"";"+84 510 3863333+84 510 3863333CallCall";25
