"id";"place_id";"activity_id"
1;1;26
2;1;123
3;2;25
4;2;26
5;2;126
6;2;56
7;3;26
8;3;126
9;4;26
10;4;123
11;4;126
12;4;128
13;5;26
14;5;125
15;6;26
16;6;125
17;6;124
18;7;26
19;7;123
20;8;26
21;8;125
22;9;26
23;9;124
24;10;26
25;10;125
26;11;26
27;11;125
28;12;26
29;12;125
30;13;26
31;13;127
32;13;123
33;14;26
34;14;125
35;15;26
36;15;125
37;16;26
38;16;130
39;17;26
40;17;123
41;18;26
42;18;29
43;18;131
44;18;147
45;18;163
46;19;26
47;19;124
48;20;28
49;20;26
50;20;10
51;20;143
52;20;134
53;21;26
54;21;123
55;22;26
56;22;123
57;23;26
58;23;124
59;24;26
60;24;124
61;25;26
62;25;123
63;26;27
64;26;26
65;26;128
66;27;26
67;27;126
68;28;26
69;28;124
70;29;29
71;29;26
72;29;148
73;29;123
74;29;150
75;30;26
76;30;127
77;31;26
78;31;129
79;34;26
80;34;132
81;35;26
82;35;123
83;39;26
84;39;123
85;39;133
86;40;26
87;40;123
88;41;26
89;41;127
90;41;123
91;42;26
92;42;123
93;43;26
94;43;123
95;43;124
96;43;129
97;44;26
98;44;124
99;45;26
100;45;123
101;45;128
102;46;26
103;46;124
104;47;26
105;47;124
106;48;26
107;48;124
108;49;26
109;49;125
110;50;27
111;52;27
112;53;27
113;53;137
114;55;27
115;59;27
116;63;27
117;64;27
118;65;27
119;67;27
120;68;27
121;69;27
122;72;27
123;72;138
124;74;27
125;75;27
126;76;27
127;77;27
