"id";"quote";"content";"place_id";"tour_id"
1;" Great place for a wander";"This part of Hoi An had so much to offer whether it be during the day or night.
During the day this part of town is relatively empty, and allows you to admire these old buildings in there glory, and of you wish have a...More";1;0
2;" Good for stalls";"Very cheap prices and great for bargainers. Try bargain for prices just higher then 50% and if you walk away then they try get you back with a better price. Would recommend getting around this town not only for clothes but for cheap meals (non...More";1;0
3;" The Town Of Lanterns";"A return visit to the beautiful `city` of lanterns. This visit coincided with the moon festival. A little disappointing to find the town only half lit, the main concentration of lanterns are based on the riverboats that ply people out onto the river. People make...More";1;0
4;" The ancient town, Hoi An";"This was a fabluous tourist area, with something for everyone. The local market area is closed off to vehiclular traffic from 3PM evbery day...which makes the tourist experience and the shopping experience that much more enjoyable and easy going.Thank You Activefinanz,
ưelcome you comeback our friendly city";1;0
5;" Quaint little town with a lot of charm";"What could be better than sitting on the second floor of a restaurant enjoying great food and drinks watching lit lanterns float down the river along with boats with lit lanterns! Very charming and pretty. 

The museum sites are interesting and provide a nice understanding...MoreThanks 479TodH,
Hope to see you again in Hoi An!";1;0
6;" Beautiful ";"Such a wonderful place to go, very romantic. Great scenic area`s to visit, with plenty of stores to explore. Numerous restaurants & street food to try. Markets, river rides & festivals at the right time.";1;0
7;" Famile Tour";"Hoi an is a place to see, do some tours the guides and Airbnb hosts are kind and helpfull.
I love the City and the People’s.
Foodtour is something you have to do.";1;0
8;" Wonderful town";"The town is small but it has everything you need, nice restaurant, fun pub..The beach just 10 minutes away if you go by taxi. Highly recommend you go to town at night time, the river, the lantern, the light,,, cant not miss them if you...More";1;0
9;" Wonderful little town !";"We spend 3 nights in Hoian. Our hotel is just few munites walk to the town. It`s amazing town likes a picture in brochure. It`s very good for shopping. We did enjoy time at beach, which is just about 4km from the town.";1;0
10;" Quaint little town";"The ancient town is a must see visit either for a day visit or maybe a few days not much more unless like us you stay at a hotel with a beach transfer which is a 10 minute drive to An bang beach , but...More";1;0
11;" So Much Fun";"First a tour of the Farming Co-operative and a lesson in best agricultural practices. From tilling the earth, natural fertilization with river weed or water hyacinth, planting, harvesting, and then off to `cooking class`. Didn`t think I`d get my son to don the Chefs hat...More";2;0
12;" Amazing Cooking Class and Tour!";"Our experience was so much fun and informative from start to finish. Jessica came to our hotel to guide us to the local market, to purchase fresh ingredients for cooking. She was excellent at explaining different ingredients, herbs and facts about the market. We then...More";2;0
13;" Amazing cooking class!";"Wow! This is hands down the best thing we’ve done in Vietnam to date - beautiful family run business - the lovely sisters really took care of us (after the cooking course we even had a massage and foot bath, made using the organic herbs...More";2;0
14;" Great day - a must do!";"We had an awesome experience with Ha and her family.
We started with a very interesting and informative tour of the markets. Then we traveled to the farm by taxi as we didn`t want to ride bicycles. Beautiful welcoming drink and introduction to the lovely...More";2;0
15;" Truly authentic";"Wow this exceeded our expectations. Ting was very informative, funny, 
Knowledgeable and encouraging. 
She was passionate about everything and we experienced the traditional techniques of farming, vegetables propagation, rice paper making and the highlight cooking delicious dishes. The bicycle ride through the rice fields and...More";2;0
16;" A delightful and delicious day in the Hoi An Countryside!";"Easily one of the best, and most delicious, ways to spend a day in Hoi An!  Our guide/cook/comedian extraordinaire, Ting, was absolutely engaging, attentive, and knowledgeable. She was also very funny. We laughed and learned all morning. In the end, we learned how to make...More";2;0
17;" Great day in Vietnam";"Excellent fun day with Xuan and her family. Started with bike riding from our hotel through rice fields to her family farm. Walked through her garden learning about many different herbs and veggies. Followed by foot and head massage. Next was our cooking class. All...More";2;0
18;" Great day";"We had a great morning here. Bike ride to the village was a great way to see another part of Hoi an. From the adults to the kids we all had a lovely time. Would recommend this class for all ages.";2;0
19;" Best cooking class. Ever.";"We went here with 2 teens and 2 toddlers, and the staff were so accommodating!
The food was so yummy, and fresh.
Our host, Xuan, was so friendly, knowledge and up to speed on allergies (We have multiple allergies)

I would reccomend this class to...More";2;0
20;" Tra Que Water Wheel Cooking Class";"The cooking class at Water Wheel was a highlight of our Vietnam holiday. We visited a local market, learnt about herbs in the garden, had a foot and shoulder massage and then cooked and ate a four course meal.  All activities were undertaken in a...More";2;0
21;" Great experience";"Had a great time preparing and eating our meal with a family, and before that, seeing how it was grown and `helping` an old female farmer.";3;0
22;" Amazing cooking classFarm Tour and Cooking Class at Tra Que Minty Garden";"We had such an amazing experience with Danny learning how to cook traditional local dishes. Danny and his family are all very friendly and have a beautiful home. Danny taught us about the different local ingredients and about what goes into the local dishes. The...More";3;0
23;" Nice place and delicious foodFarm Tour and Cooking Class at Tra Que Minty Garden";"Tra Que is really lovely place located near the smooth river. The cookling class made us impressive with local cuisine. So exciting when  enjoy the lunch cooked by us. Highly recommend without condition.";3;0
24;" Fresh & delicious lunch";"My family had lunch here recently which we enjoyed very much.
All the food was freshly prepared, the herbs were picked as we arrived ! 
It was an expertly cooked & extremely enjoyable lunch, the chef & her husband were very friendly & proud of...More";3;0
