"name";"category";"parent"
"Featured Tours and Tickets";1;0
"Local Experiences";1;0
"Recommended Experiences";1;0
"Air, Helicopter & Balloon Tours";1;0
"Cruises, Sailing & Water Tours";1;0
"Cultural & Theme Tours";1;0
"Day Trips & Excursions";1;0
"Food, Wine & Nightlife";1;0
"Sightseeing Tickets & Passes";1;0
"Outdoor Activities";1;0
"Shopping & Fashion";1;0
"Shows, Concerts & Sports";1;0
"Tours & Sightseeing";1;0
"Theme Parks";1;0
"Transfers & Ground Transport";1;0
"Walking & Biking Tours";1;0
"Water Sports";1;0
"Weddings & Honeymoons";1;0
"Family Friendly";1;0
"Shore Excursions";1;0
"Multi-day & Extended Tours";1;0
"Luxury & Special Occasions";1;0
"Private & Custom Tours";1;0
"Spa Tours";1;0
"Classes & Workshops";1;0
"Sights & Landmarks";2;0
"Spas & Wellness";2;0
"Nature & Parks";2;0
"Museums";2;0
"Nightlife";2;0
"Water & Amusement Parks";2;0
"Fun & Games";2;0
"Cooking Class";1;2
"Cultural Tour";1;2
"Local Multi-day Tours";1;2
"Painting Classes";1;2
"Vietnamese Cooking Classes in Hoi An";1;3
"3 Days in Hoi An: Suggested Itineraries";1;3
"Top Day Trips from Hoi An";1;3
"Air Tours";1;4
"Day Cruises";1;5
"Sailing Trips";1;5
"Sunset Cruises";1;5
"Lunch Cruises";1;5
"Duck Tours";1;5
"Cultural Tours";1;6
"Historical & Heritage Tours";1;6
"Literary, Art & Music Tours";1;6
"Architecture Tours";1;6
"Ghost & Vampire Tours";1;6
"Archaeology Tours";1;6
"Day Trips";1;7
"Rail Tours";1;7
"Private Day Trips";1;7
"Bar, Club & Pub Tours";1;8
"Cooking Classes";1;8
"Dining Experiences";1;8
"Wine Tasting & Winery Tours";1;8
"Beer & Brewery Tours";1;8
"Food Tours";1;8
"Nightlife";1;8
"Coffee & Tea Tours";1;8
"Attraction Tickets";1;9
"Sightseeing Passes";1;9
"Museum Tickets & Passes";1;9
"Eco Tours";1;10
"4WD, ATV & Off-Road Tours";1;10
"Fishing Charters & Tours";1;10
"Hiking & Camping";1;10
"Nature & Wildlife";1;10
"Safaris";1;10
"Adrenaline & Extreme";1;10
"Climbing";1;10
"Lift Tickets";1;10
"Running Tours";1;10
"Shopping Tours";1;11
"Fashion Shows & Tours";1;11
"Family-friendly Shows";1;12
"Concerts & Special Events";1;12
"Theater, Shows & Musicals";1;12
"Dinner Packages";1;12
"Self-guided Tours & Rentals";1;13
"Segway Tours";1;13
"Full-day Tours";1;13
"Half-day Tours";1;13
"Bus & Minivan Tours";1;13
"Sustainable Tours";1;13
"Photography Tours";1;13
"Audio Guided Tours";1;13
"Night Tours";1;13
"Hop-on Hop-off Tours";1;13
"Vespa, Scooter & Moped Tours";1;13
"Skip-the-Line Tours";1;13
"City Tours";1;13
"Motorcycle Tours";1;13
"Theme Park Tickets & Tours";1;14
"Ferry Services";1;15
"Airport & Ground Transfers";1;15
"Private Transfers";1;15
"Bus Services";1;15
"Rail Services";1;15
"Walking Tours";1;16
"Bike & Mountain Bike Tours";1;16
"Kayaking & Canoeing";1;17
"Snorkeling";1;17
"Other Water Sports";1;17
"Jet Boats & Speed Boats";1;17
"Scuba Diving";1;17
"Wedding Packages";1;18
"Family Friendly Tours & Activities";1;19
"Ports of Call Tours";1;20
"Overnight Tours";1;21
"Multi-day Tours";1;21
"Multi-day Rail Tours";1;21
"Multi-day Cruises";1;21
"Luxury Tours";1;22
"Romantic Tours";1;22
"Private Sightseeing Tours";1;23
"Onsens";1;24
"Day Spas";1;24
"Thermal Spas & Hot Springs";1;24
"Yoga Classes";1;25
"Points of Interest & Landmarks";2;26
"Sacred & Religious Sites";2;26
"Historic Sites";2;26
"Farms";2;26
"Bridges";2;26
"Scenic Walking Areas";2;26
"Architectural Buildings";2;26
"Churches & Cathedrals";2;26
"Historic Walking Areas";2;26
"Lighthouses";2;26
"Monuments & Statues";2;26
"Scenic Drives";2;26
"Spas";2;27
"Health/Fitness Clubs & Gyms";2;27
"Thermal Spas";2;27
"Yoga & Pilates";2;27
"Onsen Resorts";2;27
"Roman Baths";2;27
"Beaches";2;28
"Islands";2;28
"Motorcycle Trails";2;28
"Nature & Wildlife Areas";2;28
"Forests";2;28
"Gardens";2;28
"Art Galleries";2;29
"Art Museums";2;29
"History Museums";2;29
"Specialty Museums";2;29
"Bars & Clubs";2;30
"Coffeehouses";2;30
"Bar, Club & Pub Tours";2;30
"Wine Bars";2;30
"Theme Parks";2;31
"Paint & Pottery Studios";2;32
"Room Escape Games";2;32
"Scavenger Hunts";2;32
"Game & Entertainment Centers";2;32
"Movie Theaters";2;32
"Theaters";3;0
"Performances";3;0
"Gift & Specialty Shops";4;0
"Art Galleries";4;0
"Shopping Malls";4;0
"Flea & Street Markets";4;0
"Shopping Tours";4;0
"Factory Outlets";4;0
"Department Stores";4;0
"Fashion Shows & Tours";4;0
"Taxis & Shuttles";5;0
"Mass Transportation Systems";5;0
"Bus Transportation";5;0
