"id";"level";"place_id"
1;"12,532;4,185;1,047;262;182";1
2;"865;111;23;3;0";2
3;"146;7;3;0;0";3
4;"306;108;24;5;0";4
5;"169;267;60;7;0";5
6;"78;147;35;1;0";6
7;"62;44;21;4;3";7
8;"68;48;24;10;5";8
9;"32;50;27;3;1";9
10;"71;104;57;10;0";10
11;"22;18;8;1;0";11
12;"155;267;173;47;15";12
13;"1,519;2,051;1,664;312;137";13
14;"52;114;50;24;5";14
15;"54;97;62;24;9";15
16;"14;13;2;1;0";16
17;"13;25;23;6;1";17
18;"22;3;0;0;0";18
19;"6;7;1;0;1";19
20;"14;1;0;0;0";20
21;"8;2;3;0;1";21
22;"6;10;9;2;2";22
23;"4;1;0;0;0";23
24;"1;6;3;0;1";24
25;"3;1;2;0;1";25
26;"2;0;0;0;0";26
27;"10;0;0;0;0";27
28;"1;6;8;0;0";28
29;"14;0;0;1;1";29
30;"1;3;0;0;0";30
31;"3;2;3;1;1";31
32;"3;0;0;0;0";32
33;"1;2;0;0;0";33
34;"1;0;3;0;0";34
35;"0;2;1;0;0";35
36;"1;0;1;0;0";36
37;"1;0;0;0;0";37
38;"2;6;1;4;5";38
39;"0;1;0;0;0";39
40;"0;1;0;0;0";40
41;"0;1;2;0;0";41
42;"0;2;2;1;0";42
43;"0;0;1;0;0";43
44;"7;10;31;26;11";44
